Sport,Set Name,Description,Qty Manufactured ,Purchase Price,Sales Price,COMC Credit,Date Sold,Acquisition Date,Purchased By
Baseball,2011 Topps Series - [Base],Bartolo Colon,,1.24,1.85,1.75,12/25/2023 8:38,03/12/2023,eBay
Baseball,1961 Topps - [Base],Warren Spahn,,3.85,4.75,4.51,12/25/2023 5:05,04/10/2023,eBay
Baseball,2022 Topps Stadium Club Chrome,Miguel Cabrera,,0.36,1.25,1/18,12/24/2023 23:26,08/29/2023,Hornso
Baseball,2006 Topps Allen & Ginter's - [Base],Albert Pujols,,1.15,1.85,1.75,12/24/2023 19:14,06/01/2023,*Cart*
Baseball,1993 Topps Finest - [Base],Don Mattingly,,1.26,1.66,1.57,12/24/2023 18:49,07/12/2023,sharkcity
Baseball,1955 Bowman - [Base],Russ Kemmerer,,1.13,1.44,1.36,12/24/2023 18:37,03/23/2023,sharkcity
Baseball,1955 Bowman - [Base],Sandy Consuegra,,1.14,1.65,1.56,12/24/2023 18:37,09/12/2023,eBay
Baseball,2003 Topps Chrome - [Base],Ken Griffey Jr.,,2.25,2.51,2.38,12/24/2023 17:13,10/12/2023,eBay
Baseball,2010 Topps Sterling,Vladmir Guerrero,250,3,4.25,4.01,12/24/2023 15:14,10/28/2023,Jlin15
Baseball,2015 Topps Stadium Club,Jackie Robinson,,0.63,1.29,1.22,12/24/2023 13:52,11/19/2023,Jaredwest
Football,2005 Upper Deck NFL Players Rookie Premiere,Aaron Rodgers,,8.5,14,13.3,12/24/2023 12:38,01/22/2023,*Cart*
